official_index,name,isaaclab_index,round_trip_official_index
0,pelvis,0,0
1,left_hip_pitch_link,1,1
2,left_hip_roll_link,4,2
3,left_hip_yaw_link,7,3
4,left_knee_link,10,4
5,left_ankle_pitch_link,14,5
6,left_ankle_roll_link,18,6
7,right_hip_pitch_link,2,7
8,right_hip_roll_link,5,8
9,right_hip_yaw_link,8,9
10,right_knee_link,11,10
11,right_ankle_pitch_link,15,11
12,right_ankle_roll_link,19,12
13,waist_yaw_link,3,13
14,waist_roll_link,6,14
15,torso_link,9,15
16,left_shoulder_pitch_link,12,16
17,left_shoulder_roll_link,16,17
18,left_shoulder_yaw_link,20,18
19,left_elbow_link,22,19
20,left_wrist_roll_link,24,20
21,left_wrist_pitch_link,26,21
22,left_wrist_yaw_link,28,22
23,left_rubber_hand,30,23
24,right_shoulder_pitch_link,13,24
25,right_shoulder_roll_link,17,25
26,right_shoulder_yaw_link,21,26
27,right_elbow_link,23,27
28,right_wrist_roll_link,25,28
29,right_wrist_pitch_link,27,29
30,right_wrist_yaw_link,29,30
31,right_rubber_hand,31,31
