official_index,name,isaaclab_index,round_trip_official_index
0,left_hip_pitch_joint,0,0
1,left_hip_roll_joint,3,1
2,left_hip_yaw_joint,6,2
3,left_knee_joint,9,3
4,left_ankle_pitch_joint,13,4
5,left_ankle_roll_joint,17,5
6,right_hip_pitch_joint,1,6
7,right_hip_roll_joint,4,7
8,right_hip_yaw_joint,7,8
9,right_knee_joint,10,9
10,right_ankle_pitch_joint,14,10
11,right_ankle_roll_joint,18,11
12,waist_yaw_joint,2,12
13,waist_roll_joint,5,13
14,waist_pitch_joint,8,14
15,left_shoulder_pitch_joint,11,15
16,left_shoulder_roll_joint,15,16
17,left_shoulder_yaw_joint,19,17
18,left_elbow_joint,21,18
19,left_wrist_roll_joint,23,19
20,left_wrist_pitch_joint,25,20
21,left_wrist_yaw_joint,27,21
22,right_shoulder_pitch_joint,12,22
23,right_shoulder_roll_joint,16,23
24,right_shoulder_yaw_joint,20,24
25,right_elbow_joint,22,25
26,right_wrist_roll_joint,24,26
27,right_wrist_pitch_joint,26,27
28,right_wrist_yaw_joint,28,28
