official_index,official_name,isaaclab_index,isaaclab_name,permutation,provenance,status
0,pelvis,0,pelvis,0,CP0_RUNTIME,PASS
1,left_hip_pitch_link,1,left_hip_pitch_link,1,CP0_RUNTIME,PASS
2,left_hip_roll_link,4,left_hip_roll_link,4,CP0_RUNTIME,PASS
3,left_hip_yaw_link,7,left_hip_yaw_link,7,CP0_RUNTIME,PASS
4,left_knee_link,10,left_knee_link,10,CP0_RUNTIME,PASS
5,left_ankle_pitch_link,14,left_ankle_pitch_link,14,CP0_RUNTIME,PASS
6,left_ankle_roll_link,18,left_ankle_roll_link,18,CP0_RUNTIME,PASS
7,right_hip_pitch_link,2,right_hip_pitch_link,2,CP0_RUNTIME,PASS
8,right_hip_roll_link,5,right_hip_roll_link,5,CP0_RUNTIME,PASS
9,right_hip_yaw_link,8,right_hip_yaw_link,8,CP0_RUNTIME,PASS
10,right_knee_link,11,right_knee_link,11,CP0_RUNTIME,PASS
11,right_ankle_pitch_link,15,right_ankle_pitch_link,15,CP0_RUNTIME,PASS
12,right_ankle_roll_link,19,right_ankle_roll_link,19,CP0_RUNTIME,PASS
13,waist_yaw_link,3,waist_yaw_link,3,CP0_RUNTIME,PASS
14,waist_roll_link,6,waist_roll_link,6,CP0_RUNTIME,PASS
15,torso_link,9,torso_link,9,CP0_RUNTIME,PASS
16,left_shoulder_pitch_link,12,left_shoulder_pitch_link,12,CP0_RUNTIME,PASS
17,left_shoulder_roll_link,16,left_shoulder_roll_link,16,CP0_RUNTIME,PASS
18,left_shoulder_yaw_link,20,left_shoulder_yaw_link,20,CP0_RUNTIME,PASS
19,left_elbow_link,22,left_elbow_link,22,CP0_RUNTIME,PASS
20,left_wrist_roll_link,24,left_wrist_roll_link,24,CP0_RUNTIME,PASS
21,left_wrist_pitch_link,26,left_wrist_pitch_link,26,CP0_RUNTIME,PASS
22,left_wrist_yaw_link,28,left_wrist_yaw_link,28,CP0_RUNTIME,PASS
23,left_rubber_hand,30,left_rubber_hand,30,CP0_RUNTIME,PASS
24,right_shoulder_pitch_link,13,right_shoulder_pitch_link,13,CP0_RUNTIME,PASS
25,right_shoulder_roll_link,17,right_shoulder_roll_link,17,CP0_RUNTIME,PASS
26,right_shoulder_yaw_link,21,right_shoulder_yaw_link,21,CP0_RUNTIME,PASS
27,right_elbow_link,23,right_elbow_link,23,CP0_RUNTIME,PASS
28,right_wrist_roll_link,25,right_wrist_roll_link,25,CP0_RUNTIME,PASS
29,right_wrist_pitch_link,27,right_wrist_pitch_link,27,CP0_RUNTIME,PASS
30,right_wrist_yaw_link,29,right_wrist_yaw_link,29,CP0_RUNTIME,PASS
31,right_rubber_hand,31,right_rubber_hand,31,CP0_RUNTIME,PASS
