official_index,official_name,isaaclab_index,isaaclab_name,permutation,provenance,status
0,left_hip_pitch_joint,0,left_hip_pitch_joint,0,CP0_RUNTIME,PASS
1,left_hip_roll_joint,3,left_hip_roll_joint,3,CP0_RUNTIME,PASS
2,left_hip_yaw_joint,6,left_hip_yaw_joint,6,CP0_RUNTIME,PASS
3,left_knee_joint,9,left_knee_joint,9,CP0_RUNTIME,PASS
4,left_ankle_pitch_joint,13,left_ankle_pitch_joint,13,CP0_RUNTIME,PASS
5,left_ankle_roll_joint,17,left_ankle_roll_joint,17,CP0_RUNTIME,PASS
6,right_hip_pitch_joint,1,right_hip_pitch_joint,1,CP0_RUNTIME,PASS
7,right_hip_roll_joint,4,right_hip_roll_joint,4,CP0_RUNTIME,PASS
8,right_hip_yaw_joint,7,right_hip_yaw_joint,7,CP0_RUNTIME,PASS
9,right_knee_joint,10,right_knee_joint,10,CP0_RUNTIME,PASS
10,right_ankle_pitch_joint,14,right_ankle_pitch_joint,14,CP0_RUNTIME,PASS
11,right_ankle_roll_joint,18,right_ankle_roll_joint,18,CP0_RUNTIME,PASS
12,waist_yaw_joint,2,waist_yaw_joint,2,CP0_RUNTIME,PASS
13,waist_roll_joint,5,waist_roll_joint,5,CP0_RUNTIME,PASS
14,waist_pitch_joint,8,waist_pitch_joint,8,CP0_RUNTIME,PASS
15,left_shoulder_pitch_joint,11,left_shoulder_pitch_joint,11,CP0_RUNTIME,PASS
16,left_shoulder_roll_joint,15,left_shoulder_roll_joint,15,CP0_RUNTIME,PASS
17,left_shoulder_yaw_joint,19,left_shoulder_yaw_joint,19,CP0_RUNTIME,PASS
18,left_elbow_joint,21,left_elbow_joint,21,CP0_RUNTIME,PASS
19,left_wrist_roll_joint,23,left_wrist_roll_joint,23,CP0_RUNTIME,PASS
20,left_wrist_pitch_joint,25,left_wrist_pitch_joint,25,CP0_RUNTIME,PASS
21,left_wrist_yaw_joint,27,left_wrist_yaw_joint,27,CP0_RUNTIME,PASS
22,right_shoulder_pitch_joint,12,right_shoulder_pitch_joint,12,CP0_RUNTIME,PASS
23,right_shoulder_roll_joint,16,right_shoulder_roll_joint,16,CP0_RUNTIME,PASS
24,right_shoulder_yaw_joint,20,right_shoulder_yaw_joint,20,CP0_RUNTIME,PASS
25,right_elbow_joint,22,right_elbow_joint,22,CP0_RUNTIME,PASS
26,right_wrist_roll_joint,24,right_wrist_roll_joint,24,CP0_RUNTIME,PASS
27,right_wrist_pitch_joint,26,right_wrist_pitch_joint,26,CP0_RUNTIME,PASS
28,right_wrist_yaw_joint,28,right_wrist_yaw_joint,28,CP0_RUNTIME,PASS
